"","Income","Debts","birthyear","Gender","Employment","No_war_exper","region_now","region_before","score","war","fast_news","score_st","Fin_expectation_worse","Fin_expectation_better","Fin_expectation_much_worse","Fin_expectation_much_better","Fin_expectation_same","EducationCompleted_Undergrad_Grad","EducationCompleted_PhD","EducationCompleted_Secondary_educ","EducationCompleted_Technical_educ"
"1",1,1,1995,0,1,0,1,1,4,1,1,0.184351536213477,0,0,0,0,1,1,0,0,0
"2",1,0,1993,0,1,1,0,0,3,0,1,-0.152090017376118,0,0,0,0,1,1,0,0,0
"3",1,0,1996,1,1,1,0,0,0,0,1,-1.1614146781449,0,0,0,0,1,1,0,0,0
"4",1,0,1994,1,1,0,0,1,0,1,1,-1.1614146781449,0,0,0,0,1,1,0,0,0
"5",1,0,1992,1,1,0,1,1,0,2,1,-1.1614146781449,0,0,0,0,1,1,0,0,0
"6",1,1,1983,0,1,1,1,1,8,1,1,1.53011775057186,0,0,0,0,1,1,0,0,0
"7",0,0,2000,1,1,1,0,0,0,0,0,-1.1614146781449,0,0,0,1,0,1,0,0,0
"8",1,1,1988,0,1,0,0,0,0,1,1,-1.1614146781449,1,0,0,0,0,1,0,0,0
"9",1,1,1985,0,1,0,1,1,5,2,0,0.520793089803072,0,0,0,1,0,1,0,0,0
"10",1,0,1984,0,0,0,1,1,0,3,0,-1.1614146781449,0,0,0,0,1,0,1,0,0
"11",0,1,1974,1,1,0,1,1,5,1,1,0.520793089803072,1,0,0,0,0,1,0,0,0
"12",0,1,1985,1,1,0,1,1,10,3,0,2.20300085775105,0,1,0,0,0,1,0,0,0
"13",1,0,1996,0,1,0,1,1,0,1,0,-1.1614146781449,0,0,0,0,1,1,0,0,0
"14",1,0,1981,1,1,0,1,1,6,3,0,0.857234643392668,0,1,0,0,0,1,0,0,0
"15",1,1,1977,1,1,0,1,1,3,2,1,-0.152090017376118,0,0,1,0,0,1,0,0,0
"16",1,1,1978,1,1,0,0,0,4,2,1,0.184351536213477,1,0,0,0,0,1,0,0,0
"17",0,1,1998,1,1,0,1,1,7,2,1,1.19367619698226,0,0,0,0,1,1,0,0,0
"18",1,1,1988,0,1,0,0,1,2,1,1,-0.488531570965714,0,1,0,0,0,1,0,0,0
"19",1,1,1980,1,0,0,0,0,6,3,1,0.857234643392668,0,0,0,0,1,1,0,0,0
"20",1,1,1988,1,1,1,0,0,5,0,1,0.520793089803072,0,0,0,0,1,1,0,0,0
"21",1,0,1991,1,0,0,1,1,5,3,0,0.520793089803072,0,1,0,0,0,1,0,0,0
"22",1,0,1961,1,0,0,1,1,1,1,1,-0.824973124555309,1,0,0,0,0,1,0,0,0
"23",1,1,1984,0,1,0,1,1,7,1,1,1.19367619698226,0,0,0,0,1,1,0,0,0
"24",1,1,2001,0,1,0,1,1,0,2,1,-1.1614146781449,0,1,0,0,0,1,0,0,0
"25",1,0,1977,0,1,1,0,0,3,1,1,-0.152090017376118,1,0,0,0,0,0,1,0,0
"26",1,0,1988,1,1,1,0,0,5,0,1,0.520793089803072,0,0,0,0,1,0,1,0,0
"27",0,0,1952,1,0,0,0,0,7,1,1,1.19367619698226,1,0,0,0,0,0,1,0,0
"28",0,0,1978,1,1,0,1,1,4,2,1,0.184351536213477,0,1,0,0,0,1,0,0,0
"29",1,1,1975,1,0,1,0,1,8,1,1,1.53011775057186,0,0,0,1,0,1,0,0,0
"30",0,0,1998,1,1,0,1,1,0,2,1,-1.1614146781449,0,0,0,0,1,1,0,0,0
"31",1,0,1995,0,1,0,1,1,0,2,1,-1.1614146781449,0,0,0,1,0,1,0,0,0
"32",1,0,1996,1,0,0,1,1,0,3,1,-1.1614146781449,0,0,0,0,1,1,0,0,0
"33",1,0,1988,1,1,0,1,1,2,1,1,-0.488531570965714,0,0,0,0,1,0,1,0,0
"34",0,0,1982,1,1,0,1,1,5,2,1,0.520793089803072,0,0,0,0,1,1,0,0,0
"35",1,1,1983,1,1,0,1,1,6,1,0,0.857234643392668,0,0,0,0,1,0,1,0,0
"36",1,0,1976,1,1,0,0,1,2,2,1,-0.488531570965714,0,0,0,0,1,0,1,0,0
"37",1,1,1985,0,1,0,1,1,0,3,0,-1.1614146781449,0,1,0,0,0,0,1,0,0
"38",1,1,1982,1,1,0,1,1,5,2,1,0.520793089803072,0,0,0,0,1,0,1,0,0
"39",1,1,1987,1,1,0,1,1,5,2,1,0.520793089803072,0,0,0,0,1,1,0,0,0
"40",0,0,1983,1,0,0,0,0,1,2,1,-0.824973124555309,0,1,0,0,0,1,0,0,0
"41",1,1,1988,0,1,0,0,1,0,2,1,-1.1614146781449,0,0,0,1,0,1,0,0,0
"42",0,1,1982,1,1,0,1,1,7,3,1,1.19367619698226,0,0,0,1,0,1,0,0,0
"43",0,0,1982,1,1,0,0,1,0,2,1,-1.1614146781449,0,0,0,0,1,1,0,0,0
"44",1,0,1981,1,0,0,0,1,0,3,1,-1.1614146781449,1,0,0,0,0,1,0,0,0
"45",1,0,1985,0,1,1,1,1,0,0,0,-1.1614146781449,0,1,0,0,0,1,0,0,0
"46",0,1,1986,1,1,1,1,1,8,2,1,1.53011775057186,0,0,0,0,1,1,0,0,0
"47",0,1,1976,1,1,1,0,0,6,1,0,0.857234643392668,1,0,0,0,0,1,0,0,0
"48",1,1,1988,0,1,0,1,1,5,1,1,0.520793089803072,0,0,0,0,1,1,0,0,0
"49",0,0,2001,0,1,0,1,1,1,4,1,-0.824973124555309,0,0,0,1,0,0,0,1,0
"50",0,0,2001,1,0,0,1,1,2,3,1,-0.488531570965714,0,1,0,0,0,1,0,0,0
"51",0,0,1978,1,1,0,0,0,5,1,0,0.520793089803072,0,0,0,0,1,1,0,0,0
"52",0,1,1995,1,1,0,0,0,6,1,1,0.857234643392668,0,0,0,1,0,1,0,0,0
"53",1,1,1978,1,1,0,1,1,6,2,1,0.857234643392668,1,0,0,0,0,1,0,0,0
"54",0,1,1959,1,0,1,0,0,10,1,1,2.20300085775105,0,0,0,1,0,1,0,0,0
"55",0,0,1949,1,0,0,0,0,6,1,1,0.857234643392668,0,0,1,0,0,0,0,0,1
"56",0,1,1996,1,1,0,0,0,0,1,1,-1.1614146781449,0,0,0,0,1,1,0,0,0
"57",1,1,2001,0,1,0,1,1,0,2,1,-1.1614146781449,0,1,0,0,0,1,0,0,0
"58",0,0,1979,1,0,0,0,1,4,0,0,0.184351536213477,0,1,0,0,0,1,0,0,0
"59",0,1,2000,0,0,0,1,1,3,2,1,-0.152090017376118,0,1,0,0,0,1,0,0,0
"60",0,1,1975,1,1,1,1,1,6,3,1,0.857234643392668,0,1,0,0,0,1,0,0,0
"61",0,0,2001,1,0,0,0,0,8,2,1,1.53011775057186,0,1,0,0,0,1,0,0,0
"62",1,0,1994,0,1,0,1,1,3,2,1,-0.152090017376118,0,1,0,0,0,1,0,0,0
"63",1,0,2001,1,0,1,0,0,3,1,1,-0.152090017376118,0,1,0,0,0,1,0,0,0
"64",0,1,1979,0,1,0,1,1,6,1,1,0.857234643392668,0,1,0,0,0,1,0,0,0
"65",1,0,1992,1,1,0,1,1,10,1,0,2.20300085775105,0,0,0,0,1,1,0,0,0
